"Rider_1"	"Name"	"Team.x"	"Rider"	"Value"	"Rank"	"Rider.No."	"Team.y"	"Times"	"Gap"	"B"	"P"	"Stage_no"	"Hour"	"Minute"	"Second"	"total_seconds"	"time"
"F. LIPOWITZ"	"Matthew"	"Last Minute Lemmings"	"Florian Lipowitz"	1	8	25	"RED BULL - BORA - HANSGROHE"	"00h 22' 22''"	"+ 00h 00' 35''"	"-"	"-"	"stage-1"	0	22	22	1342	22M 22S
"F. WRIGHT"	"Janet"	"No Idea"	"Fred Wright"	1	101	178	"PINARELLO-Q36.5 PRO CYCLING TEAM"	"00h 25' 09''"	"+ 00h 03' 22''"	"-"	"-"	"stage-1"	0	25	9	1509	25M 9S
"F. WRIGHT"	"Janet"	"No Idea"	"Fred Wright"	1	168	178	"PINARELLO-Q36.5 PRO CYCLING TEAM"	"03h 54' 21''"	"+ 00h 14' 20''"	"-"	"-"	"stage-2"	3	54	21	14061	3H 54M 21S
"G. MARTIN GUYONNET"	"Alain"	"The Eight Musketeers"	"Guillaume Martin-Guyonnet"	1	112	186	"GROUPAMA-FDJ UNITED"	"00h 25' 21''"	"+ 00h 03' 34''"	"-"	"-"	"stage-1"	0	25	21	1521	25M 21S
"G. MARTIN GUYONNET"	"Alain"	"The Eight Musketeers"	"Guillaume Martin-Guyonnet"	1	42	186	"GROUPAMA-FDJ UNITED"	"03h 45' 32''"	"+ 00h 05' 31''"	"-"	"-"	"stage-2"	3	45	32	13532	3H 45M 32S
"G. ZIMMERMANN"	"Alex"	"Team Saucisson"	"Georg Zimmermann"	1	133	158	"LOTTO INTERMARCHE"	"00h 25' 53''"	"+ 00h 04' 06''"	"-"	"-"	"stage-1"	0	25	53	1553	25M 53S
"G. ZIMMERMANN"	"Alex"	"Team Saucisson"	"Georg Zimmermann"	1	58	158	"LOTTO INTERMARCHE"	"03h 49' 29''"	"+ 00h 09' 28''"	"-"	"-"	"stage-2"	3	49	29	13769	3H 49M 29S
"I. DEL TORO"	"Julie"	"Can’t catch me 🙂"	"Isaac del Toro"	1	1	2	"UAE TEAM EMIRATES XRG"	"03h 40' 01''"	"-"	"B : 10''"	"-"	"stage-2"	3	40	1	13201	3H 40M 1S
"I. DEL TORO"	"Julie"	"Can’t catch me 🙂"	"Isaac del Toro"	1	6	2	"UAE TEAM EMIRATES XRG"	"00h 22' 13''"	"+ 00h 00' 26''"	"-"	"-"	"stage-1"	0	22	13	1333	22M 13S
"J. ABRAHAMSEN"	"James"	"Škoda Drivers"	"Jonas Abrahamsen"	1	114	122	"UNO-X MOBILITY"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
"J. ABRAHAMSEN"	"James"	"Škoda Drivers"	"Jonas Abrahamsen"	1	122	122	"UNO-X MOBILITY"	"00h 25' 42''"	"+ 00h 03' 55''"	"-"	"-"	"stage-1"	0	25	42	1542	25M 42S
"J. AYUSO"	"Judy"	"Barcelona Breakaway"	"Juan Ayuso"	1	4	31	"LIDL-TREK"	"00h 22' 03''"	"+ 00h 00' 16''"	"-"	"-"	"stage-1"	0	22	3	1323	22M 3S
"J. AYUSO"	"Judy"	"Barcelona Breakaway"	"Juan Ayuso"	1	12	31	"LIDL-TREK"	"03h 40' 04''"	"+ 00h 00' 03''"	"-"	"-"	"stage-2"	3	40	4	13204	3H 40M 4S
"J. AYUSO"	"Pete"	"The Clean Team"	"Juan Ayuso"	1	4	31	"LIDL-TREK"	"00h 22' 03''"	"+ 00h 00' 16''"	"-"	"-"	"stage-1"	0	22	3	1323	22M 3S
"J. AYUSO"	"Pete"	"The Clean Team"	"Juan Ayuso"	1	12	31	"LIDL-TREK"	"03h 40' 04''"	"+ 00h 00' 03''"	"-"	"-"	"stage-2"	3	40	4	13204	3H 40M 4S
"J. AYUSO"	"James"	"Škoda Drivers"	"Juan Ayuso"	1	4	31	"LIDL-TREK"	"00h 22' 03''"	"+ 00h 00' 16''"	"-"	"-"	"stage-1"	0	22	3	1323	22M 3S
"J. AYUSO"	"James"	"Škoda Drivers"	"Juan Ayuso"	1	12	31	"LIDL-TREK"	"03h 40' 04''"	"+ 00h 00' 03''"	"-"	"-"	"stage-2"	3	40	4	13204	3H 40M 4S
"J. AYUSO"	"Dirk"	"Tintin en Velo"	"Juan Ayuso"	1	4	31	"LIDL-TREK"	"00h 22' 03''"	"+ 00h 00' 16''"	"-"	"-"	"stage-1"	0	22	3	1323	22M 3S
"J. AYUSO"	"Dirk"	"Tintin en Velo"	"Juan Ayuso"	1	12	31	"LIDL-TREK"	"03h 40' 04''"	"+ 00h 00' 03''"	"-"	"-"	"stage-2"	3	40	4	13204	3H 40M 4S
