"Rider_1"	"Name"	"Team.x"	"Rider"	"Value"	"Rank"	"Rider.No."	"Team.y"	"Times"	"Gap"	"B"	"P"	"Stage_no"	"Hour"	"Minute"	"Second"	"total_seconds"	"time"
"M. JORGENSON"	"Matthew"	"Last Minute Lemmings"	"Matteo Jorgenson"	1	48	16	"TEAM VISMA | LEASE A BIKE"	"03h 46' 04''"	"+ 00h 06' 03''"	"-"	"-"	"stage-2"	3	46	4	13564	3H 46M 4S
"M. JORGENSON"	"Chris & Jill"	"Mystery Package"	"Matteo Jorgenson "	1	48	16	"TEAM VISMA | LEASE A BIKE"	"03h 46' 04''"	"+ 00h 06' 03''"	"-"	"-"	"stage-2"	3	46	4	13564	3H 46M 4S
"M. PEDERSEN"	"Chris & Jill"	"Mystery Package"	"Mads Pedersen"	1	156	33	"LIDL-TREK"	"03h 53' 57''"	"+ 00h 13' 56''"	"-"	"-"	"stage-2"	3	53	57	14037	3H 53M 57S
"M. PEDERSEN"	"James"	"Škoda Drivers"	"Mads Pedersen"	1	156	33	"LIDL-TREK"	"03h 53' 57''"	"+ 00h 13' 56''"	"-"	"-"	"stage-2"	3	53	57	14037	3H 53M 57S
"M. SKJELMOSE"	"Judy"	"Barcelona Breakaway"	"Mattias Skjelmose"	1	5	35	"LIDL-TREK"	"03h 40' 04''"	"+ 00h 00' 03''"	"-"	"-"	"stage-2"	3	40	4	13204	3H 40M 4S
"M. SKJELMOSE"	"Mary"	"The Lion Kings"	"Mattias Skjelmose"	1	5	35	"LIDL-TREK"	"03h 40' 04''"	"+ 00h 00' 03''"	"-"	"-"	"stage-2"	3	40	4	13204	3H 40M 4S
"M. STORER"	"Alex"	"Team Saucisson"	"Michael Storer"	1	138	196	"TUDOR PRO CYCLING TEAM"	"03h 53' 34''"	"+ 00h 13' 33''"	"-"	"-"	"stage-2"	3	53	34	14014	3H 53M 34S
"M. VACEK"	"Jack"	"You've Got to Pick a Vacek or Hoole"	"Mathias Vacek"	1	38	37	"LIDL-TREK"	"03h 45' 03''"	"+ 00h 05' 02''"	"-"	"-"	"stage-2"	3	45	3	13503	3H 45M 3S
"O. KOOIJ"	"Julie"	"Can’t catch me 🙂"	"Olaf Kooij"	1	180	55	"DECATHLON CMA CGM TEAM"	"03h 58' 09''"	"+ 00h 18' 08''"	"-"	"-"	"stage-2"	3	58	9	14289	3H 58M 9S
"O. KOOIJ"	"Ashley"	"Le Grand Fromage"	"Olaf Kooij"	1	180	55	"DECATHLON CMA CGM TEAM"	"03h 58' 09''"	"+ 00h 18' 08''"	"-"	"-"	"stage-2"	3	58	9	14289	3H 58M 9S
"O. KOOIJ"	"James"	"Škoda Drivers"	"Olav Kooij"	1	180	55	"DECATHLON CMA CGM TEAM"	"03h 58' 09''"	"+ 00h 18' 08''"	"-"	"-"	"stage-2"	3	58	9	14289	3H 58M 9S
"P. HAGENES"	"Julie"	"Can’t catch me 🙂"	"Per Strand Hagenes"	1	171	15	"TEAM VISMA | LEASE A BIKE"	"03h 55' 03''"	"+ 00h 15' 02''"	"-"	"-"	"stage-2"	3	55	3	14103	3H 55M 3S
"P. SEIXAS"	"James"	"Škoda Drivers"	"Paul Seixas"	1	9	51	"DECATHLON CMA CGM TEAM"	"03h 40' 04''"	"+ 00h 00' 03''"	"-"	"-"	"stage-2"	3	40	4	13204	3H 40M 4S
"P. SEIXAS"	"Alain"	"The Eight Musketeers"	"Paul Seixas"	1	9	51	"DECATHLON CMA CGM TEAM"	"03h 40' 04''"	"+ 00h 00' 03''"	"-"	"-"	"stage-2"	3	40	4	13204	3H 40M 4S
"Q. SIMMONS"	"Jonathan"	"Pedal Dammit"	"Quin Simmons"	1	153	34	"LIDL-TREK"	"03h 53' 57''"	"+ 00h 13' 56''"	"-"	"-"	"stage-2"	3	53	57	14037	3H 53M 57S
"R. CARAPAZ"	"Conor"	"iPaddy Rides Again"	"Richard Carapaz"	1	14	41	"EF EDUCATION - EASYPOST"	"03h 40' 08''"	"+ 00h 00' 07''"	"-"	"-"	"stage-2"	3	40	8	13208	3H 40M 8S
"R. CARAPAZ"	"Pete"	"The Clean Team"	"Richard Carapaz"	1	14	41	"EF EDUCATION - EASYPOST"	"03h 40' 08''"	"+ 00h 00' 07''"	"-"	"-"	"stage-2"	3	40	8	13208	3H 40M 8S
"R. CARAPAZ"	"Judy"	"Barcelona Breakaway"	"Richard Carapaz"	1	14	41	"EF EDUCATION - EASYPOST"	"03h 40' 08''"	"+ 00h 00' 07''"	"-"	"-"	"stage-2"	3	40	8	13208	3H 40M 8S
"R. CARAPAZ"	"Alex"	"Team Saucisson"	"Richard Carapaz"	1	14	41	"EF EDUCATION - EASYPOST"	"03h 40' 08''"	"+ 00h 00' 07''"	"-"	"-"	"stage-2"	3	40	8	13208	3H 40M 8S
"R. GARCIA"	"Alex"	"Team Saucisson"	"Raúl Garcia Pierna"	1	90	144	"MOVISTAR TEAM"	"03h 51' 07''"	"+ 00h 11' 06''"	"-"	"-"	"stage-2"	3	51	7	13867	3H 51M 7S
"R. GREGOIRE"	"Alain"	"The Eight Musketeers"	"Romain Grégoire"	1	7	181	"GROUPAMA-FDJ UNITED"	"03h 40' 04''"	"+ 00h 00' 03''"	"-"	"-"	"stage-2"	3	40	4	13204	3H 40M 4S
"S. KUSS"	"Julie"	"Can’t catch me 🙂"	"Sep Kuss"	1	52	17	"TEAM VISMA | LEASE A BIKE"	"03h 46' 53''"	"+ 00h 06' 52''"	"-"	"-"	"stage-2"	3	46	53	13613	3H 46M 53S
"S. KUSS"	"Conor"	"iPaddy Rides Again"	"Sep Kuss"	1	52	17	"TEAM VISMA | LEASE A BIKE"	"03h 46' 53''"	"+ 00h 06' 52''"	"-"	"-"	"stage-2"	3	46	53	13613	3H 46M 53S
"S. WAERENSKJOLD"	"Julie"	"Can’t catch me 🙂"	"Søren Wærenskjold"	1	172	128	"UNO-X MOBILITY"	"03h 55' 07''"	"+ 00h 15' 06''"	"-"	"-"	"stage-2"	3	55	7	14107	3H 55M 7S
"T. ARENSMAN"	"Ashley"	"Le Grand Fromage"	"Thymen Arensman"	1	21	82	"NETCOMPANY INEOS CYCLING TEAM"	"03h 40' 48''"	"+ 00h 00' 47''"	"-"	"-"	"stage-2"	3	40	48	13248	3H 40M 48S
"T. ARENSMAN"	"Jonathan"	"Pedal Dammit"	"Thymen Arensman"	1	21	82	"NETCOMPANY INEOS CYCLING TEAM"	"03h 40' 48''"	"+ 00h 00' 47''"	"-"	"-"	"stage-2"	3	40	48	13248	3H 40M 48S
"T. ARENSMAN"	"Mary"	"The Lion Kings"	"Thymen Arensman"	1	21	82	"NETCOMPANY INEOS CYCLING TEAM"	"03h 40' 48''"	"+ 00h 00' 47''"	"-"	"-"	"stage-2"	3	40	48	13248	3H 40M 48S
