"Rank"	"Rider"	"Rider.No."	"Team"	"Times"	"Gap"	"B"	"P"	"Stage_no"	"Hour"	"Minute"	"Second"	"total_seconds"	"time"
105	"F. VERMEERSCH"	6	"UAE TEAM EMIRATES XRG"	"00h 25' 15''"	"+ 00h 03' 28''"	"-"	"-"	"stage-1"	0	25	15	1515	25M 15S
106	"B. ARMIRAIL"	13	"TEAM VISMA | LEASE A BIKE"	"00h 25' 15''"	"+ 00h 03' 28''"	"-"	"-"	"stage-1"	0	25	15	1515	25M 15S
107	"V. CAMPENAERTS"	14	"TEAM VISMA | LEASE A BIKE"	"00h 25' 15''"	"+ 00h 03' 28''"	"-"	"-"	"stage-1"	0	25	15	1515	25M 15S
108	"H. ARTZ"	152	"LOTTO INTERMARCHE"	"00h 25' 16''"	"+ 00h 03' 29''"	"-"	"-"	"stage-1"	0	25	16	1516	25M 16S
109	"X. MEURISSE"	176	"PINARELLO-Q36.5 PRO CYCLING TEAM"	"00h 25' 17''"	"+ 00h 03' 30''"	"-"	"-"	"stage-1"	0	25	17	1517	25M 17S
110	"X. AZPARREN IRURZUN"	172	"PINARELLO-Q36.5 PRO CYCLING TEAM"	"00h 25' 17''"	"+ 00h 03' 30''"	"-"	"-"	"stage-1"	0	25	17	1517	25M 17S
111	"C. BERTHET"	182	"GROUPAMA-FDJ UNITED"	"00h 25' 21''"	"+ 00h 03' 34''"	"-"	"-"	"stage-1"	0	25	21	1521	25M 21S
112	"G. MARTIN GUYONNET"	186	"GROUPAMA-FDJ UNITED"	"00h 25' 21''"	"+ 00h 03' 34''"	"-"	"-"	"stage-1"	0	25	21	1521	25M 21S
113	"J. STEWART"	137	"NSN CYCLING TEAM"	"00h 25' 23''"	"+ 00h 03' 36''"	"-"	"-"	"stage-1"	0	25	23	1523	25M 23S
114	"S. OLDANI"	226	"CAJA RURAL-SEGUROS RGA"	"00h 25' 25''"	"+ 00h 03' 38''"	"-"	"-"	"stage-1"	0	25	25	1525	25M 25S
115	"S. BERWICK"	223	"CAJA RURAL-SEGUROS RGA"	"00h 25' 25''"	"+ 00h 03' 38''"	"-"	"-"	"stage-1"	0	25	25	1525	25M 25S
116	"A. DELETTRE"	204	"TOTALENERGIES"	"00h 25' 28''"	"+ 00h 03' 41''"	"-"	"-"	"stage-1"	0	25	28	1528	25M 28S
117	"M. WALKER"	48	"EF EDUCATION - EASYPOST"	"00h 25' 30''"	"+ 00h 03' 43''"	"-"	"-"	"stage-1"	0	25	30	1530	25M 30S
118	"R. PLUIMERS"	195	"TUDOR PRO CYCLING TEAM"	"00h 25' 32''"	"+ 00h 03' 45''"	"-"	"-"	"stage-1"	0	25	32	1532	25M 32S
119	"A. DE KLEIJN"	192	"TUDOR PRO CYCLING TEAM"	"00h 25' 32''"	"+ 00h 03' 45''"	"-"	"-"	"stage-1"	0	25	32	1532	25M 32S
120	"A. JOHANNESSEN"	125	"UNO-X MOBILITY"	"00h 25' 37''"	"+ 00h 03' 50''"	"-"	"-"	"stage-1"	0	25	37	1537	25M 37S
121	"A. ARANBURU"	163	"COFIDIS"	"00h 25' 41''"	"+ 00h 03' 54''"	"-"	"-"	"stage-1"	0	25	41	1541	25M 41S
122	"J. ABRAHAMSEN"	122	"UNO-X MOBILITY"	"00h 25' 42''"	"+ 00h 03' 55''"	"-"	"-"	"stage-1"	0	25	42	1542	25M 42S
123	"M. CORT NIELSEN"	124	"UNO-X MOBILITY"	"00h 25' 42''"	"+ 00h 03' 55''"	"-"	"-"	"stage-1"	0	25	42	1542	25M 42S
124	"M. LOUVEL"	135	"NSN CYCLING TEAM"	"00h 25' 42''"	"+ 00h 03' 55''"	"-"	"-"	"stage-1"	0	25	42	1542	25M 42S
125	"M. MOHORIC"	75	"BAHRAIN VICTORIOUS"	"00h 25' 43''"	"+ 00h 03' 56''"	"-"	"-"	"stage-1"	0	25	43	1543	25M 43S
126	"E. PLANCKAERT"	106	"ALPECIN-PREMIER TECH"	"00h 25' 45''"	"+ 00h 03' 58''"	"-"	"-"	"stage-1"	0	25	45	1545	25M 45S
127	"A. SKAARSETH"	126	"UNO-X MOBILITY"	"00h 25' 46''"	"+ 00h 03' 59''"	"-"	"-"	"stage-1"	0	25	46	1546	25M 46S
128	"N. PRODHOMME"	57	"DECATHLON CMA CGM TEAM"	"00h 25' 48''"	"+ 00h 04' 01''"	"-"	"-"	"stage-1"	0	25	48	1548	25M 48S
129	"A. TURGIS"	207	"TOTALENERGIES"	"00h 25' 50''"	"+ 00h 04' 03''"	"-"	"-"	"stage-1"	0	25	50	1550	25M 50S
130	"F. GAVIRIA"	221	"CAJA RURAL-SEGUROS RGA"	"00h 25' 52''"	"+ 00h 04' 05''"	"-"	"-"	"stage-1"	0	25	52	1552	25M 52S
131	"M. CATTANEO"	22	"RED BULL - BORA - HANSGROHE"	"00h 25' 53''"	"+ 00h 04' 06''"	"-"	"-"	"stage-1"	0	25	53	1553	25M 53S
132	"J. TRATNIK"	26	"RED BULL - BORA - HANSGROHE"	"00h 25' 53''"	"+ 00h 04' 06''"	"-"	"-"	"stage-1"	0	25	53	1553	25M 53S
133	"G. ZIMMERMANN"	158	"LOTTO INTERMARCHE"	"00h 25' 53''"	"+ 00h 04' 06''"	"-"	"-"	"stage-1"	0	25	53	1553	25M 53S
134	"L. CRAPS"	154	"LOTTO INTERMARCHE"	"00h 25' 55''"	"+ 00h 04' 08''"	"-"	"-"	"stage-1"	0	25	55	1555	25M 55S
135	"L. SLOCK"	155	"LOTTO INTERMARCHE"	"00h 25' 55''"	"+ 00h 04' 08''"	"-"	"-"	"stage-1"	0	25	55	1555	25M 55S
136	"B. VEISTROFFER"	157	"LOTTO INTERMARCHE"	"00h 25' 55''"	"+ 00h 04' 08''"	"-"	"-"	"stage-1"	0	25	55	1555	25M 55S
137	"A. DE LIE"	151	"LOTTO INTERMARCHE"	"00h 25' 56''"	"+ 00h 04' 09''"	"-"	"-"	"stage-1"	0	25	56	1556	25M 56S
138	"J. BIERMANS"	164	"COFIDIS"	"00h 25' 57''"	"+ 00h 04' 10''"	"-"	"-"	"stage-1"	0	25	57	1557	25M 57S
139	"H. PAGE"	167	"COFIDIS"	"00h 25' 57''"	"+ 00h 04' 10''"	"-"	"-"	"stage-1"	0	25	57	1557	25M 57S
140	"O. KOOIJ"	55	"DECATHLON CMA CGM TEAM"	"00h 25' 59''"	"+ 00h 04' 12''"	"-"	"-"	"stage-1"	0	25	59	1559	25M 59S
